id,name,slug,category,product_type,price,importPrice,stock,status,rating,origin,viewCount,createdAt
f7997dcb-44dc-4837-a45f-a1c2100344d3,Giao Trinh 1,giao-trinh-1-f799,giao-trinh,sach-luu-tru,253000,177100.0,108,SELLING,3.9,FR,1120,2025-11-03
29fdd949-dba6-4938-9cbd-6e88bbc9efab,Giao Trinh 2,giao-trinh-2-29fd,giao-trinh,sach-luu-tru,144000,100800.0,0,OUT_OF_STOCK,3.7,GB,1787,2026-01-21
cfe4b507-3a7e-452d-9e2a-c983c5eff342,Giao Trinh 3,giao-trinh-3-cfe4,giao-trinh,sach-luu-tru,76000,53200.0,22,NEW,0.0,US,1666,2026-04-03
3d9a2047-91cf-496b-8302-d40ba22ebf72,Giao Trinh 4,giao-trinh-4-3d9a,giao-trinh,sach-luu-tru,247000,172900.0,0,DISCONTINUED,3.8,VN,2002,2025-10-24
8715daa2-13d5-4aeb-85aa-6718ac0dd4bf,Giao Trinh 5,giao-trinh-5-8715,giao-trinh,sach-luu-tru,286000,200200.0,167,NEW,0.0,CN,1267,2026-02-26
f58149bf-deeb-44eb-b4c7-b1dda2478d6d,Giao Trinh 6,giao-trinh-6-f581,giao-trinh,sach-luu-tru,148000,103600.0,188,SELLING,4.4,TH,181,2026-02-25
44f7780e-ed77-4359-9b63-374f79391ec9,Giao Trinh 7,giao-trinh-7-44f7,giao-trinh,sach-luu-tru,234000,163800.0,0,DISCONTINUED,4.8,JP,3394,2025-05-27
cf425af9-8bdb-4f7b-af85-0fa0e145d163,Giao Trinh 8,giao-trinh-8-cf42,giao-trinh,sach-luu-tru,80000,56000.0,0,OUT_OF_STOCK,4.8,GB,3275,2025-09-08
286c8256-6e60-4b66-8a01-f1e97599730f,Giao Trinh 9,giao-trinh-9-286c,giao-trinh,sach-luu-tru,115000,80500.0,28,NEW,0.0,GB,950,2026-03-02
e3de88a8-ea5b-42f9-bb40-a87f3b74f028,Giao Trinh 10,giao-trinh-10-e3de,giao-trinh,sach-luu-tru,269000,188300.0,0,DISCONTINUED,3.5,US,4551,2025-09-18
3cf92c31-8908-477e-8202-3a6f26565b67,Giao Trinh 11,giao-trinh-11-3cf9,giao-trinh,sach-luu-tru,248000,173600.0,0,DISCONTINUED,4.3,CN,3228,2025-11-01
fc2cf69f-00fa-4bd1-af38-f04a727f420c,Giao Trinh 12,giao-trinh-12-fc2c,giao-trinh,sach-luu-tru,198000,138600.0,0,DISCONTINUED,4.2,CN,1414,2025-10-06
90ce6b6a-6b30-492d-8004-1af247c950c8,Giao Trinh 13,giao-trinh-13-90ce,giao-trinh,sach-luu-tru,260000,182000.0,153,SELLING,4.2,FR,1956,2025-06-10
46536a43-d34f-498b-9600-8d0760265913,Giao Trinh 14,giao-trinh-14-4653,giao-trinh,sach-luu-tru,205000,143500.0,0,OUT_OF_STOCK,4.6,FR,4159,2025-05-31
1c6061c7-0eb2-49c6-95e7-85b71d09d836,Giao Trinh 15,giao-trinh-15-1c60,giao-trinh,sach-luu-tru,158000,110600.0,0,OUT_OF_STOCK,4.4,KR,403,2026-03-22
e4d01f84-2acc-468a-8574-dc8b16a8d7f9,Giao Trinh 16,giao-trinh-16-e4d0,giao-trinh,sach-luu-tru,83000,58100.0,122,SELLING,4.7,FR,3758,2025-08-24
88fb3d9f-63d9-4e6b-af0a-206499cf32a2,Giao Trinh 17,giao-trinh-17-88fb,giao-trinh,sach-luu-tru,225000,157500.0,171,SELLING,4.4,CN,141,2026-02-10
0b7261d1-3861-450e-ac83-0155d5cbe4ae,Giao Trinh 18,giao-trinh-18-0b72,giao-trinh,sach-luu-tru,104000,72800.0,0,OUT_OF_STOCK,3.5,TH,4058,2025-09-19
8c3ae75e-e167-4840-8cae-78792352237a,Giao Trinh 19,giao-trinh-19-8c3a,giao-trinh,sach-luu-tru,272000,190400.0,0,DISCONTINUED,4.4,US,2063,2025-12-10
e55909bd-268e-4bbe-9793-93b186065cfa,Giao Trinh 20,giao-trinh-20-e559,giao-trinh,sach-luu-tru,286000,200200.0,191,SELLING,4.8,CN,4436,2025-08-10
5d0bef9c-9bad-4d45-909a-9ae4a8ee2e59,Giao Trinh 21,giao-trinh-21-5d0b,giao-trinh,sach-luu-tru,243000,170100.0,20,SELLING,4.9,JP,4041,2025-12-23
f15eeaa7-fa47-4b66-9ffc-22ef5e495968,Giao Trinh 22,giao-trinh-22-f15e,giao-trinh,sach-luu-tru,250000,175000.0,0,OUT_OF_STOCK,4.3,CN,939,2026-03-29
44478a0d-6baf-4000-a528-818b5bbca6a8,Giao Trinh 23,giao-trinh-23-4447,giao-trinh,sach-luu-tru,186000,130200.0,89,SELLING,3.6,TH,2910,2025-05-24
3cf1278d-0c9a-4711-9ec8-9dc0d4e869d4,Giao Trinh 24,giao-trinh-24-3cf1,giao-trinh,sach-luu-tru,114000,79800.0,144,NEW,0.0,JP,3229,2026-04-17
d96b1d33-be9d-4b00-8201-87160086182b,Giao Trinh 25,giao-trinh-25-d96b,giao-trinh,sach-luu-tru,153000,107100.0,88,NEW,0.0,CN,719,2025-10-16
77445d48-8d19-4333-99b9-0dbe145ad6d8,Giao Trinh 26,giao-trinh-26-7744,giao-trinh,sach-luu-tru,76000,53200.0,0,DISCONTINUED,4.7,KR,4739,2025-06-23
cc249ed2-bf79-427d-8705-2d44844dd9b1,Giao Trinh 27,giao-trinh-27-cc24,giao-trinh,sach-luu-tru,145000,101500.0,98,NEW,0.0,US,898,2025-10-24
c0f7b305-af9f-46af-af22-81148ba5b279,Giao Trinh 28,giao-trinh-28-c0f7,giao-trinh,sach-luu-tru,152000,106400.0,0,DISCONTINUED,3.7,CN,3346,2025-12-10
34066c14-ae25-4e91-8ca9-33369ed294f8,Giao Trinh 29,giao-trinh-29-3406,giao-trinh,sach-luu-tru,92000,64400.0,0,OUT_OF_STOCK,4.6,FR,4097,2025-11-29
367c057d-d35c-4619-9857-55c45da0d5b4,Giao Trinh 30,giao-trinh-30-367c,giao-trinh,sach-luu-tru,283000,198100.0,138,SELLING,4.4,CN,2180,2026-03-28
830d5ff8-564d-4aa0-9a0e-ec441bccdda6,Giao Trinh 31,giao-trinh-31-830d,giao-trinh,sach-luu-tru,298000,208600.0,30,SELLING,4.0,GB,3624,2026-01-05
c0c37232-6747-4ae3-84bb-a794ad07c7bb,Giao Trinh 32,giao-trinh-32-c0c3,giao-trinh,sach-luu-tru,293000,205100.0,149,SELLING,4.1,GB,1887,2025-10-12
379177c4-2a72-436f-8e34-9f49b011f22c,Giao Trinh 33,giao-trinh-33-3791,giao-trinh,sach-luu-tru,235000,164500.0,97,SELLING,4.3,CN,133,2025-06-14
5cc8737d-b1f5-4b74-9430-1ca642a78523,Giao Trinh 34,giao-trinh-34-5cc8,giao-trinh,sach-luu-tru,53000,37100.0,87,SELLING,4.3,FR,4624,2026-04-25
0d983389-bafb-4710-a4a6-da0afce131f3,Giao Trinh 35,giao-trinh-35-0d98,giao-trinh,sach-luu-tru,68000,47600.0,54,SELLING,3.6,JP,795,2025-09-22
787e836c-9bb5-4e5a-b8ce-7fc6275e8695,Giao Trinh 36,giao-trinh-36-787e,giao-trinh,sach-luu-tru,262000,183400.0,0,DISCONTINUED,4.2,US,1828,2025-11-22
80ad66ed-1c04-455b-8acc-70b62489aa69,Giao Trinh 37,giao-trinh-37-80ad,giao-trinh,sach-luu-tru,224000,156800.0,23,SELLING,3.8,KR,3628,2025-10-28
72914408-6294-4885-b238-cedf6fa98ea2,Giao Trinh 38,giao-trinh-38-7291,giao-trinh,sach-luu-tru,185000,129500.0,179,SELLING,3.7,GB,4332,2025-11-11
c165db64-767f-4e8a-a01f-353d7dbb08f3,Giao Trinh 39,giao-trinh-39-c165,giao-trinh,sach-luu-tru,238000,166600.0,0,OUT_OF_STOCK,3.8,KR,802,2025-05-12
a9050296-b3b7-4996-aad3-c70b99330136,Giao Trinh 40,giao-trinh-40-a905,giao-trinh,sach-luu-tru,185000,129500.0,0,OUT_OF_STOCK,3.9,JP,4747,2025-08-20
2bedfa3b-1abc-43b3-b43b-279b84015df6,Giao Trinh 41,giao-trinh-41-2bed,giao-trinh,sach-luu-tru,127000,88900.0,148,SELLING,4.8,KR,894,2025-11-04
7059cf0d-ae8a-45c8-8370-fe56892e20b8,Giao Trinh 42,giao-trinh-42-7059,giao-trinh,sach-luu-tru,215000,150500.0,0,DISCONTINUED,3.7,JP,3084,2026-05-09
0efd978e-05a4-4191-9baa-d84cce632116,Giao Trinh 43,giao-trinh-43-0efd,giao-trinh,sach-luu-tru,92000,64400.0,0,DISCONTINUED,4.3,CN,3036,2026-02-08
e6c83d75-b662-4162-ae7e-a4621dd382c6,Giao Trinh 44,giao-trinh-44-e6c8,giao-trinh,sach-luu-tru,176000,123200.0,113,NEW,0.0,KR,2364,2025-08-19
5e2cb9bb-0b20-423b-889b-1dfe9a6a46bd,Giao Trinh 45,giao-trinh-45-5e2c,giao-trinh,sach-luu-tru,111000,77700.0,0,OUT_OF_STOCK,4.9,VN,3837,2026-02-28
62468b8a-b2b8-4316-9622-665413235eb8,Giao Trinh 46,giao-trinh-46-6246,giao-trinh,sach-luu-tru,82000,57400.0,191,NEW,0.0,JP,1156,2025-11-26
c2f00690-a0df-473a-b3d7-7b8150d05d28,Giao Trinh 47,giao-trinh-47-c2f0,giao-trinh,sach-luu-tru,195000,136500.0,0,DISCONTINUED,4.9,VN,831,2025-08-07
420402e0-389b-4a56-933f-fb6b09925b81,Giao Trinh 48,giao-trinh-48-4204,giao-trinh,sach-luu-tru,80000,56000.0,97,NEW,0.0,JP,2165,2025-11-28
39fd9fe6-86a6-4e8b-b9a6-3e71392cd722,Giao Trinh 49,giao-trinh-49-39fd,giao-trinh,sach-luu-tru,161000,112700.0,0,DISCONTINUED,4.5,VN,4973,2025-09-27
37e54fab-5b2e-4418-bf08-fab2302db3b3,Giao Trinh 50,giao-trinh-50-37e5,giao-trinh,sach-luu-tru,281000,196700.0,0,DISCONTINUED,4.5,VN,3053,2025-12-31
